2023-01-28 14:26:31:053|AppleMobileDeviceHelper|2086|0x7fa119609b40|ISyncManager|Warning| Sync Server default was not found, assuming server was active
2023-01-28 14:26:31:258|SyncServer|2087|0x7f8f8dd03950|Logging|Info| Logging initialized, engine version 727 : log level 3
2023-01-28 14:26:32:013|SyncServer|2087|0x7f8f8df24d20|SyncManager|Info| Really resetting all sync data
2023-01-28 14:26:32:013|SyncServer|2087|0x7f8f8df24d20|DataManager|Warning| Resetting Sync Data - Including Clients and Schemas=YES
2023-01-28 14:26:32:013|SyncServer|2087|0x7f8f8df24d20|Server|Warning| Admin database corrupted. Resetting data directory.
2023-01-28 14:26:32:222|SyncServer|2087|0x7f8f8df24d20|Server|Info| Cancelling all sync plans.
2023-01-28 14:26:32:254|SyncServer|2087|0x7f8f8df24d20|Server|Info| Goodnight, Gracie.
2023-01-28 14:26:41:356|SyncServer|2092|0x7fe7e0d07580|Logging|Info| Logging initialized, engine version 727 : log level 3
2023-01-28 14:28:42:412|SyncServer|2092|0x7fe7e0d07580|Server|Info| Cancelling all sync plans.
2023-01-28 14:28:42:419|SyncServer|2092|0x7fe7e0d07580|Server|Info| Goodnight, Gracie.
2023-01-29 12:50:11:725|SyncServer|3955|0x7f8ff2507c10|Logging|Info| Logging initialized, engine version 727 : log level 3
2023-01-29 12:52:12:563|SyncServer|3955|0x7f8ff2507c10|Server|Info| Cancelling all sync plans.
2023-01-29 12:52:12:576|SyncServer|3955|0x7f8ff2507c10|Server|Info| Goodnight, Gracie.
